,rmse,mae,mape,msle,mse
gossip aggregated,31.52303051826986,24.85470063334471,1121680428053748.6,0.39315714080010167,1405.1753245273962
single aggregated,31.37508807911096,24.493697199645098,1105412720044792.0,0.39147872860972394,1383.5614549514185
centralized aggregated,32.37304384521819,25.227711792161188,1224874083233077.5,0.4269464674466975,1442.0734054477982
gossip 0,7.992623536507394,6.446132616867461,676222730273922.4,0.4389207485269812,63.88203099633197
gossip 1,30.12726218678112,23.33748525398102,817492877965178.0,0.28828678830669296,907.6519268710515
gossip 2,10.26278395445746,8.255978948013993,1819960649634295.2,0.6111676132393881,105.3247344958695
gossip 3,58.27749501645838,43.4347461025336,258131735466175.4,0.19599769566491593,3396.2664253933312
gossip 4,34.7540334406171,27.826758386519383,539395228967949.4,0.36379022275198825,1207.8428403915316
gossip 5,29.26672458185064,23.54686304912694,520714981817511.1,0.3021429578867007,856.5411677499004
gossip 6,29.733559756816646,23.319676068938424,852713397659354.2,0.30195340787978336,884.0845758121864
gossip 7,23.757743971310294,19.22613646913777,1412698993054511.0,0.4267004304505406,564.4303986063306
gossip 8,14.545638222217447,11.973097589614843,4319473685698589.5,0.8766333230600143,211.57559129163312
gossip 9,76.51244051568213,61.18013184871365,0.313707567524319,0.12597822023401126,5854.153553665796
single 0,7.949571845204162,6.458273533068874,728640034033855.9,0.4313823403698095,63.195692522062714
single 1,30.19056762368253,23.300893721639486,658537221276786.5,0.2649606541340711,911.4703734401478
single 2,9.840978793281936,7.68002130455567,1767237823544331.2,0.5758546014929778,96.84486360982478
single 3,57.35973740513461,43.45386438841597,265223163733051.84,0.2006124934209761,3290.1394751859984
single 4,34.562390547325535,27.832061674229653,418118650172659.25,0.3479378441949933,1194.5588403458573
single 5,29.84612494877316,23.66916501714886,431841548810090.5,0.31994988041178923,890.7911744577796
single 6,30.065944436014405,23.4414768572879,838583008380704.4,0.3272567332417793,903.9610148295056
single 7,23.724280067119764,18.987362291787942,1381746390739803.8,0.4217404813529293,562.8414647031361
single 8,14.669039035395574,12.08030341226753,4564199359756637.0,0.9061326654894096,215.1807062219591
single 9,75.5422460891779,58.03354979604908,0.2942124594693709,0.1189595919885036,5706.630944197912
centralized 0,8.972637656227725,7.180921806651677,1002706194457597.9,0.5453994715077976,80.50822650995578
centralized 1,30.56844744309456,23.657920891505892,664486125922992.4,0.27555297628172226,934.4299790812343
centralized 2,10.840929229393089,8.942697824181884,2354263751737236.0,0.7206800814637161,117.52574655670944
centralized 3,58.433665067854314,43.74202765202545,170333850539219.84,0.2035943046611029,3414.4932132621775
centralized 4,35.99940767099296,28.359719773341542,347196717476512.94,0.3489198788969964,1295.9573526623465
centralized 5,30.816354257339356,24.25584902341427,600852835480858.1,0.3322964405606074,949.6476897138375
centralized 6,30.59480748840672,23.693673855457615,885047770845297.5,0.3142135101768983,936.042245252668
centralized 7,25.774001657980133,19.89662616809814,1528443331134859.0,0.4634825295191183,664.2991614655626
centralized 8,15.693776928802567,12.574199496395353,4695410254736204.0,0.9517121601324227,246.2946342910157
centralized 9,76.03641105209053,59.973481430540076,0.2710271410133552,0.11361332126659325,5781.535805682475
