,rmse,mae,mape,msle,mse
gossip aggregated,32.0773602120496,25.478507742146785,660781075654340.4,0.32378552596167137,1221.4234189460874
single aggregated,32.554141339412936,25.244946668501925,729869188851022.4,0.3457346101328683,1244.2676431426576
centralized aggregated,33.408623765752665,25.21741343827388,616725340321963.5,0.3309712960671849,1305.963736530614
gossip 0,25.303763959966943,19.964163670417356,512084226646710.3,0.321488565197501,640.280470541722
gossip 1,35.643787627230935,28.463727097189164,324157904004358.56,0.2622875830626251,1270.4795964151413
gossip 2,20.18679573029964,16.27613463252074,1746149415355522.0,0.4868596938706646,407.5067218568438
gossip 3,30.09240952466799,24.089069927680164,401663443318010.9,0.27084305865045816,905.5531110003286
gossip 4,67.45654274973913,53.60849990082513,0.35838504294053913,0.13760893132345084,4550.385159747382
gossip 5,18.733963896129406,14.922657605016038,263721831556467.72,0.2577361505165947,350.96140326148003
gossip 6,42.964326866846065,34.42927544191834,63673854589729.38,0.23510757597787746,1845.9333831211904
gossip 7,20.049563931294937,15.61915603918081,1790911119080147.5,0.5465706223242558,401.98501383508284
gossip 8,26.966241517611934,21.512271591643852,885442125261613.2,0.4308620374458625,727.1781815861776
gossip 9,33.37620631670897,25.900121515076236,620006836730844.5,0.2884910412474237,1113.971148095524
single 0,26.059110842205,20.009182753503946,491421286101565.5,0.33345847729498174,679.0772578863263
single 1,35.8474748304072,28.57251172923225,333747446260780.3,0.2729793174120214,1285.0414517166778
single 2,20.26405421261311,15.842746374382505,1683231215513768.0,0.4807445073762325,410.6318931317232
single 3,30.359795209843227,23.98779860776907,523059919537640.6,0.29625914498359923,921.7171651836197
single 4,67.35673920411473,51.08769911703442,0.35335675924799936,0.13856630378050913,4536.9303162111255
single 5,20.32566167260457,15.453569724602886,300199399499981.2,0.31183296594412224,413.1325224291865
single 6,43.40308685143751,34.23556091170669,73943252164164.2,0.24529184816842534,1883.8279482334274
single 7,21.3776863923125,16.17564536536114,2449035238367506.0,0.6494453875291759,457.00547548806315
single 8,26.935181846306776,21.677576971099448,915067144399037.8,0.45175325894197,725.5040210936141
single 9,33.6126223322848,25.4071751303269,528986986665779.9,0.2770148898976461,1129.8083800528111
centralized 0,26.434831605297582,20.200857533600985,370761078022058.75,0.30669529416798874,698.80032200044
centralized 1,36.4535698731128,27.5215481477732,233627778288312.12,0.2375729965498693,1328.8627564939172
centralized 2,21.46927532726222,16.58925797392594,1609330615725827.2,0.5018983459423721,460.92978307779026
centralized 3,31.063678331297034,23.83810514319408,449945882120321.1,0.2689269964631519,964.9521114702928
centralized 4,67.83150125005366,49.362230927007296,0.3427867939876502,0.1387829009178732,4601.112561836032
centralized 5,19.91035147991602,15.23675404595376,224201008549596.22,0.26940397304513974,396.4220960537941
centralized 6,45.89824456739466,34.933709062926546,40738320573780.54,0.24212055299426927,2106.6488543683736
centralized 7,21.528432545890023,16.337679559111482,1929939100114734.2,0.626322302218677,463.4734078829368
centralized 8,28.390940089713894,21.98482816781916,861474127694411.2,0.44908183280842856,806.0454791777236
centralized 9,35.1054125875888,26.169163821426377,447235492130594.3,0.26890776556407864,1232.3899929448382
