,rmse,mae,mape,msle,mse
gossip aggregated,29.849433937091003,23.48081741929905,902057440214123.8,0.38392850724534544,1359.6470663590258
single aggregated,29.861230792418702,23.60820867233368,910281961831288.8,0.39038523262569985,1351.4930032019124
centralized aggregated,30.46470859060222,23.90950643026069,894766993631989.1,0.41630187089485454,1368.3516040710053
gossip 0,69.47283533103541,55.07858810098142,0.29042092028280664,0.11554892244088782,4826.474848933162
gossip 1,10.909326767467107,9.037670430515519,1717469550562615.8,0.6517451965361668,119.01341051937433
gossip 2,43.4724000506386,34.18928343222098,186647652440623.72,0.22427341564011655,1889.849566162763
gossip 3,9.504936377201574,7.675059408629996,1631390659250872.5,0.5599305711766228,90.34381553464978
gossip 4,40.278014079706736,31.005999762029674,248193446769182.06,0.18874577898894143,1622.3184182050538
gossip 5,17.41565429145874,14.34597712307176,915565139931507.0,0.45477011258164834,303.30501439960517
gossip 6,18.610980285700844,15.139099925047551,1623599570824963.2,0.5489057237183527,346.36858719474543
gossip 7,63.115618715390376,47.586361423205695,210886212514708.16,0.14340291837901673,3983.5813258265357
gossip 8,19.36097924053081,15.574762621343305,1409020922618004.5,0.41409739393890355,374.8475171522649
gossip 9,6.353594231779854,5.1753719659445965,1077801247228762.2,0.5378650390527973,40.36815966210623
single 0,68.68381394722195,54.00797616176442,0.2876438084213786,0.11470632680202904,4717.4662983366
single 1,11.162310543925583,9.118093551949135,1634177118766179.5,0.6711947023035997,124.59717667903224
single 2,44.03076113978901,34.89863959865044,158206638502632.88,0.24042194645893708,1938.7079265491539
single 3,9.56703048240442,7.4973576354424685,1668321440362539.2,0.5610537127145381,91.52807225125534
single 4,40.41240243294817,31.82664813777586,291097489277396.06,0.20694242550419148,1633.162270402555
single 5,17.845409603501547,14.793379325848552,1049281707363670.9,0.48797754983977853,318.45864391674525
single 6,18.574428779907745,15.096388210692256,1458277008234603.8,0.5209687469461871,345.0094044998651
single 7,62.70962762334643,47.840939693287595,242109284367215.12,0.1427374922596488,3932.4973966587736
single 8,19.337964463449055,15.851529458270086,1534462777860478.5,0.42960587752781915,373.95686958961846
single 9,6.288558907693118,5.151134949656014,1066886153578171.4,0.5282435459002693,39.54597313552646
centralized 0,67.98955245738466,53.34026239033997,0.2713449242953853,0.1106410894675312,4622.579243355461
centralized 1,11.334920706851618,9.380352483830148,1788642121265242.5,0.7060337653195337,128.4804274306136
centralized 2,44.55184362685023,35.180814507118754,218242326825126.1,0.2331243560928088,1984.8667705513153
centralized 3,10.442826702722448,8.563025702305003,1772852695639770.5,0.6440194832689602,109.05262954309299
centralized 4,40.99915613276442,31.79327331964001,239811446214707.0,0.20069358927614916,1680.9308035987945
centralized 5,18.238441827415027,14.298845303954678,743070073393452.9,0.43561127715296105,332.640760292002
centralized 6,20.165804854640175,15.70901409758487,1283512369720935.5,0.5439037747638554,406.6596854354292
centralized 7,62.596328272841795,48.39012949360086,163634616945351.56,0.14488967980893633,3918.3003132413733
centralized 8,21.191254046853395,16.68985547858346,1390177609228857.5,0.44989411913784216,449.06924807828034
centralized 9,7.136957277698435,5.749491525649117,1347726677086446.8,0.6942075746599669,50.93615918369265
