,rmse,mae,mape,msle,mse
gossip aggregated,51.231414959521224,34.3285157526443,774964164516721.0,0.39129007302974433,3370.491751181057
single aggregated,66.16753126548238,43.648111043992856,931062303802256.0,0.5195726515290029,5957.936946704966
centralized aggregated,32.88488879286911,24.472853664262235,702988292223902.8,0.3333659956883303,1132.0870750915117
gossip 0,88.82896493610423,48.048159946081114,411267060344361.6,0.35758799688058074,7890.585011619633
gossip 1,26.550116546648265,20.775683494586623,2049739088769114.2,0.5822681214496249,704.9086886406061
gossip 2,34.092865102419445,26.875809263963756,1165741127190200.8,0.40355082349401095,1162.3234508917699
gossip 3,92.03272733429311,49.63139402911733,1177018459462067.2,0.4852728157270649,8470.022900588343
gossip 4,35.61988796069502,27.538107926604333,421843277686864.6,0.36148490485503293,1268.7764183324657
gossip 5,96.94365810122656,61.777629198515335,143818089405724.0,0.28382559930356943,9398.07284604751
gossip 6,33.33164586379442,26.282056717883204,666239186023820.8,0.4619472854269905,1110.9986159894036
gossip 7,31.32875474628263,24.552380635176544,785524833614469.4,0.3255543414248606,981.4908739527265
gossip 8,39.064731311418946,30.891590394256912,375971236374239.44,0.28277379196652813,1526.0532324333556
gossip 9,34.52079769232971,26.91234592025786,552479286296348.06,0.3686350497691805,1191.6854733147563
single 0,101.59551274575455,54.213794969506694,370197273319744.8,0.40928311550460805,10321.648210072774
single 1,30.386939235831512,23.99916541440276,3001626426576802.5,0.7252929493855005,923.3660761221166
single 2,51.84456046508251,38.44076413194074,1170217659018283.8,0.5141578619789248,2687.858449817596
single 3,110.13957902689307,57.954562890767825,1571833382038286.0,0.6045267425416515,12130.726868221225
single 4,40.889561473965045,32.343021844980115,824560295008291.4,0.6052574307227632,1671.9562375331664
single 5,156.55378047003768,98.53575569207881,137855258127138.75,0.6695209852890698,24509.08617946075
single 6,40.46620963680469,31.78781287782804,765862727040219.5,0.5926676596135672,1637.5141223698247
single 7,47.101411869689606,35.03109428049306,695185182137877.4,0.4100015041091008,2218.543000118137
single 8,46.78996131678415,36.12098918352814,291807830962541.5,0.30206474336877276,2189.300480026157
single 9,35.90779641398119,28.05414915440236,481477003793375.9,0.3629535227760718,1289.3698433079203
centralized 0,38.37969460386837,27.471174159164924,387216158193561.2,0.2718725927416974,1473.0009578862032
centralized 1,22.95573760869659,17.797390678062765,1623732853753944.2,0.4939199331868849,526.965889159327
centralized 2,29.37989249692027,22.562037827985232,1082838327031757.4,0.3862432664595025,863.178083130592
centralized 3,38.63895441778685,25.832095827464258,1217799640315458.2,0.4029666661736255,1492.96879849981
centralized 4,25.57471970530764,19.72815946460035,378221261855612.3,0.2886839742074113,654.0662880050509
centralized 5,48.19915317909213,34.93694562090415,160289641110541.75,0.2228260051751881,2323.1583671815865
centralized 6,27.776983917090636,21.246391907291795,554788690075188.6,0.3350582270533773,771.5608355303118
centralized 7,29.302132774618794,22.55976220368961,837215874520993.1,0.33425752909474743,858.614985141389
centralized 8,35.19276186038195,26.981490407998017,327687348207767.1,0.2684976705583548,1238.5304873615544
centralized 9,33.44885736492791,25.61308854546125,460093127174203.6,0.32933409223251353,1118.8260590192922
