,rmse,mae,mape,msle,mse
gossip aggregated,52.70721776723484,35.99962347727218,2060456160321804.8,0.6223308142775048,3437.855071156531
single aggregated,69.09071849309527,47.07733753053436,2208616448902671.2,0.798486176349294,6046.754295568584
centralized aggregated,33.549290436769226,23.807704581565947,1142596792453736.8,0.4128856781139321,1264.5222877521278
gossip 0,51.64945454856913,42.156373947414565,3527401170695362.0,0.8616490654837452,2667.6661551647085
gossip 1,99.51195209686365,56.4676429542556,1564207331740656.0,0.5271150542718036,9902.628610128486
gossip 2,26.262251882264504,19.958487024316327,3332552348866341.0,0.9312802189309886,689.7058739275055
gossip 3,52.01980673926197,40.00309266429306,433694409688807.25,0.31598478188219176,2706.060293190166
gossip 4,65.84407648413188,47.203305299418936,2242887540639827.2,0.5629159957205406,4335.442408048208
gossip 5,22.657911781730338,17.91062747589036,3155190325645229.0,0.8797777005402658,513.3809663086745
gossip 6,39.076228589046735,29.40419659919297,657701395849229.5,0.3620398352294593,1526.9516407434332
gossip 7,51.19831366368375,36.318776969961846,1869561782339282.8,0.5731666971141207,2621.267322004946
gossip 8,25.12939378154976,19.822457469609894,3139564017510652.5,0.8161862198696074,631.4864318281917
gossip 9,93.72278810524678,50.75127436836825,681801280242659.1,0.3931925737323257,8783.961010220986
single 0,51.513057649834835,41.465841697731584,2976926775950098.5,0.7339494203342128,2653.5951084352073
single 1,99.29143169284805,59.81076394412117,1613318920288075.5,0.6041807136404528,9858.788407615511
single 2,35.07584609976359,26.72954547885407,4157392717663555.0,1.1780901932457357,1230.3149796143007
single 3,75.20021939031591,56.343656845067066,423711272433852.3,0.5213483380308453,5655.072996351644
single 4,106.70406329219016,66.63917173493903,2146626901463907.2,0.6020876919747516,11385.757123063722
single 5,25.317444231822545,20.063956305885593,4021602426482815.5,1.0398532922020007,640.9729824314447
single 6,85.42453219826618,64.6144952659867,672759572643409.4,1.1013416160710656,7297.350701292616
single 7,48.995505269389845,34.8841034388657,1744051411692317.8,0.533075633576446,2400.5595366028083
single 8,26.930383617340794,21.234803226838746,3755178098113912.0,0.923277905577713,725.2455617771374
single 9,136.45470148918085,78.98703736705399,574596392294766.5,0.7476569588397165,18619.885558501453
centralized 0,34.341803082010394,25.083619567654527,925302666491645.4,0.3426364760196762,1179.3594389235786
centralized 1,48.55844222427947,32.45278184636222,874732310410678.0,0.3418668623015848,2357.922311248687
centralized 2,18.1795993813745,13.819054001065009,1963802365191290.5,0.5989334459227482,330.4978336672721
centralized 3,35.20586615801277,26.290075169719668,410954290554996.75,0.2622751468208558,1239.4530119359088
centralized 4,53.51569714366122,36.020399511711126,755355456659240.9,0.3123024713385196,2863.92984077207
centralized 5,18.79485600041591,14.133577967310119,1855393786300426.5,0.6076027917654263,353.2466120763699
centralized 6,30.876022632514456,23.124335598121398,723542244994133.2,0.34411642354665495,953.328773603545
centralized 7,30.006381382002175,21.733847455281968,1358809273439943.0,0.42128122242300914,900.3829236421667
centralized 8,21.003734693526003,15.16536394558443,1929308473117955.5,0.5804261757820524,441.15687107602787
centralized 9,45.010501669895355,30.25399075284898,628767057377058.9,0.31741576521879333,2025.9452605756524
