,mse_mean,mse_var,mse_std,mse_50q,mse_90q,rsd
Gossip,1328.1811541545023,,1455.520644324171,866.1261759207468,3239.120048695514,1.095875091866313
Single,1509.578357949136,,2767.6362442233403,868.2042521717383,3216.7305796695446,1.833383626394433
Centralized,1321.7725735377264,,1403.0990796941414,886.4274257976384,3185.40773310492,1.0615283656088765
